label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
jeans,862,660,489,1321,p144.jpeg,2034,2032
heels,1478,1313,495,444,p144.jpeg,2034,2032
hand bag,1430,604,526,438,p144.jpeg,2034,2032
dress pants,31,85,54,167,p145.jpg,221,273
heels,60,214,48,45,p145.jpg,221,273
hand bag,108,167,105,93,p145.jpg,221,273
blazer,111,20,107,143,p145.jpg,221,273
heels,19,454,295,322,p146.jpg,600,878
hand bag,281,617,264,250,p146.jpg,600,878
dress pants,389,62,209,724,p146.jpg,600,878
long sleeve shirt,53,35,376,427,p146.jpg,600,878
button down shirt,11,12,198,240,p147.jpg,439,621
jeggings,41,243,135,354,p147.jpg,439,621
hand bag,180,346,137,135,p147.jpg,439,621
dress shoes,168,531,165,52,p147.jpg,439,621
crop top,5,116,295,451,p148.jpg,600,943
shorts,240,3,337,583,p148.jpg,600,943
sandals,18,690,273,232,p148.jpg,600,943
hand bag,226,541,342,350,p148.jpg,600,943
jeans,15,86,60,157,p149.jpg,188,269
button down shirt,79,11,93,127,p149.jpg,188,269
hand bag,116,135,68,74,p149.jpg,188,269
sneakers,71,210,83,40,p149.jpg,188,269
t-shirt,51,90,62,83,p15.jpg,168,300
slacks,49,158,55,103,p15.jpg,168,300
sneakers,33,255,38,22,p15.jpg,168,300
sneakers,83,256,29,29,p15.jpg,168,300
jeans,24,396,164,422,p150.jpg,640,829
long sleeve shirt,231,92,341,373,p150.jpg,640,829
sneakers,220,529,84,287,p150.jpg,640,829
sneakers,311,546,91,279,p150.jpg,640,829
crop top,18,19,278,386,p151.jpg,640,854
shorts,14,391,292,246,p151.jpg,640,854
hand bag,318,450,304,177,p151.jpg,640,854
sneakers,15,648,325,180,p151.jpg,640,854
crop top,25,21,285,227,p152.jpg,640,607
overalls,336,23,222,385,p152.jpg,640,607
sneakers,254,406,254,166,p152.jpg,640,607
bodysuit,85,231,396,477,p153.webp,577,866
dress,46,48,97,220,p154.jpg,183,275
sweater,0,662,1604,1898,p155.jpg,1707,2560
t-shirt,14,31,250,292,p156.jpg,1200,1600
heels,215,11,243,108,p156.jpg,1200,1600
crop top,430,31,292,250,p156.jpg,1200,1600
hand bag,744,53,224,219,p156.jpg,1200,1600
slacks,963,27,237,489,p156.jpg,1200,1600
long sleeve shirt,16,363,301,308,p156.jpg,1200,1600
blazer,332,292,319,363,p156.jpg,1200,1600
sneakers,686,303,257,104,p156.jpg,1200,1600
long skirt,5,781,246,460,p156.jpg,1200,1600
jeans,272,668,232,485,p156.jpg,1200,1600
dress,733,449,199,507,p156.jpg,1200,1600
tank top,974,522,188,285,p156.jpg,1200,1600
tank top,531,761,175,261,p156.jpg,1200,1600
dress shoes,925,830,261,89,p156.jpg,1200,1600
sandals,2,1288,248,102,p156.jpg,1200,1600
hand bag,292,1175,201,252,p156.jpg,1200,1600
button down shirt,505,1036,316,385,p156.jpg,1200,1600
slacks,945,974,235,427,p156.jpg,1200,1600
long sleeve shirt,54,44,216,270,p157.png,1000,1500
hand bag,50,290,193,93,p157.png,1000,1500
sandals,50,394,207,73,p157.png,1000,1500
long sleeve shirt,37,535,241,257,p157.png,1000,1500
dress pants,280,506,183,461,p157.png,1000,1500
t-shirt,50,1050,226,226,p157.png,1000,1500
heels,66,1413,183,58,p157.png,1000,1500
hand bag,535,1222,154,189,p157.png,1000,1500
sandals,583,1419,180,52,p157.png,1000,1500
slacks,99,1059,764,1613,p158.jpg,2065,2923
vest,1117,218,663,946,p158.jpg,2065,2923
hand bag,1085,1694,708,485,p158.jpg,2065,2923
sneakers,1105,2361,716,295,p158.jpg,2065,2923
long sleeve shirt,171,251,853,1023,p158.jpg,2065,2923
hand bag,187,93,194,93,p159.jpg,736,1054
dress pants,174,198,133,328,p159.jpg,736,1054
dress pants,403,420,140,362,p159.jpg,736,1054
long skirt,556,378,156,236,p159.jpg,736,1054
hand bag,66,590,152,197,p159.jpg,736,1054
hand bag,189,719,133,172,p159.jpg,736,1054
heels,79,859,192,83,p159.jpg,736,1054
dress shoes,361,800,178,79,p159.jpg,736,1054
dress shoes,387,894,207,74,p159.jpg,736,1054
t-shirt,442,442,104,267,p16.png,1080,1440
jacket,373,454,329,364,p16.png,1080,1440
jeans,393,713,281,534,p16.png,1080,1440
sneakers,582,1175,92,229,p16.png,1080,1440
sneakers,530,1279,80,147,p16.png,1080,1440
long sleeve shirt,156,223,545,654,p160.jpeg,2500,1875
dress pants,254,635,379,744,p160.jpeg,2500,1875
hand bag,661,685,272,454,p160.jpeg,2500,1875
bodysuit,1087,236,355,371,p160.jpeg,2500,1875
dress pants,1094,555,360,840,p160.jpeg,2500,1875
dress,1800,145,573,877,p160.jpeg,2500,1875
dress shoes,277,1538,335,117,p160.jpeg,2500,1875
heels,1113,1535,301,119,p160.jpeg,2500,1875
heels,1966,1543,252,127,p160.jpeg,2500,1875
dress pants,148,61,444,885,p162.webp,748,997
dress pants,64,34,202,382,p163.jpeg,338,450
dress pants,41,14,99,257,p164.jpg,177,284
dress pants,48,351,291,703,p165.jpg,603,1072
bodysuit,70,104,209,262,p165.jpg,603,1072
hand bag,344,477,219,231,p165.jpg,603,1072
dress shoes,352,815,233,179,p165.jpg,603,1072
crop top,147,43,247,244,p166.jpg,691,1003
dress pants,366,178,232,813,p166.jpg,691,1003
hand bag,144,418,236,325,p166.jpg,691,1003
heels,62,795,258,185,p166.jpg,691,1003
heels,180,766,196,157,p166.jpg,691,1003
dress shirt,60,5,124,160,p167.jpg,236,358
hand bag,1,140,107,71,p167.jpg,236,358
dress pants,142,77,91,280,p167.jpg,236,358
heels,51,253,42,84,p167.jpg,236,358
heels,84,219,51,89,p167.jpg,236,358
button down shirt,464,75,318,432,p168.png,1080,1080
hand bag,534,524,281,238,p168.png,1080,1080
heels,574,796,263,173,p168.png,1080,1080
dress shirt,8,48,90,110,p169.jpg,600,600
dress pants,15,144,67,153,p169.jpg,600,600
dress shirt,119,41,76,89,p169.jpg,600,600
long sleeve shirt,206,30,104,99,p169.jpg,600,600
long sleeve shirt,305,309,101,123,p169.jpg,600,600
long sleeve shirt,511,310,89,115,p169.jpg,600,600
long sleeve shirt,207,310,88,100,p169.jpg,600,600
pullover,535,474,765,662,p17.jpg,1707,2560
jeans,676,1098,567,1172,p17.jpg,1707,2560
shorts,45,8,54,59,p170.jpg,236,305
hand bag,7,67,43,26,p170.jpg,236,305
bucket hat,7,28,42,27,p170.jpg,236,305
long skirt,53,56,42,54,p170.jpg,236,305
hand bag,72,70,39,20,p170.jpg,236,305
blazer,128,8,47,61,p170.jpg,236,305
t-shirt,186,12,48,49,p170.jpg,236,305
jacket,99,104,47,94,p170.jpg,236,305
button down shirt,4,164,46,54,p170.jpg,236,305
dress shoes,60,270,35,30,p170.jpg,236,305
vest,368,124,111,118,p171.jpg,1280,720
dress pants,349,248,115,368,p171.jpg,1280,720
hand bag,675,366,71,234,p171.jpg,1280,720
button down shirt,552,120,177,158,p171.jpg,1280,720
hand bag,1066,366,64,190,p171.jpg,1280,720
jacket,827,593,827,827,p172.webp,3840,2160
heels,1492,898,503,413,p172.webp,3840,2160
dress,2585,785,530,1311,p172.webp,3840,2160
hand bag,3070,928,447,361,p172.webp,3840,2160
sneakers,1928,1826,552,263,p172.webp,3840,2160
sweater,30,1461,748,691,p172.webp,3840,2160
long skirt,3216,26,624,1120,p172.webp,3840,2160
pullover,609,854,368,320,p173.webp,1880,1576
sandals,1267,486,283,159,p173.webp,1880,1576
hand bag,981,140,201,264,p173.webp,1880,1576
sneakers,687,477,286,185,p173.webp,1880,1576
t-shirt,225,65,344,377,p173.webp,1880,1576
sneakers,1274,1373,283,144,p173.webp,1880,1576
jacket,2,48,595,920,p174.png,1551,1024
long sleeve shirt,595,177,320,578,p174.png,1551,1024
jeans,2,39,63,128,p175.jpg,300,168
shorts,112,93,80,66,p175.jpg,300,168
jacket,193,62,86,104,p175.jpg,300,168
sweater,245,196,243,274,p176.jpg,746,857
sweatpants,258,412,308,369,p176.jpg,746,857
sneakers,326,757,110,82,p176.jpg,746,857
sneakers,488,765,81,77,p176.jpg,746,857
jacket,24,43,157,198,p177.jpg,186,272
jacket,411,315,517,621,p178.jpg,1280,1740
jeans,440,862,508,683,p178.jpg,1280,1740
sneakers,414,1531,152,147,p178.jpg,1280,1740
sneakers,650,1485,149,140,p178.jpg,1280,1740
button down shirt,23,21,191,185,p179.jpg,224,224
blazer,89,6,68,77,p181.jpg,300,168
button down shirt,193,27,55,65,p181.jpg,300,168
sweater,8,85,40,51,p181.jpg,300,168
sweater,251,97,49,71,p181.jpg,300,168
shorts,204,118,47,45,p181.jpg,300,168
dress shoes,52,78,42,18,p181.jpg,300,168
button down shirt,23,40,182,149,p182.jpg,225,225
button down shirt,3,18,109,194,p183.jpg,225,225
button down shirt,115,17,109,182,p183.jpg,225,225
button down shirt,4,1,440,476,p184.jpg,447,484
jacket,153,192,477,560,p185.jpg,832,864
beanie,237,23,191,116,p185.jpg,832,864
jacket,132,100,276,345,p186.webp,533,533
cap,65,15,44,25,p187.jpg,201,251
t-shirt,44,67,98,127,p187.jpg,201,251
t-shirt,19,50,762,940,p188.jpg,800,1024
long sleeve shirt,8,33,270,356,p189.jpg,285,470
jacket,262,294,433,561,p19.jpg,913,1390
button down shirt,22,23,282,272,p190.jpg,308,470
crop top,73,452,925,743,p191.jpg,1000,1500
short skirt,215,167,595,574,p192.jpg,1000,1000
long skirt,173,47,582,674,p193.webp,794,794
long skirt,423,777,438,759,p194.jpg,1200,1800
short skirt,183,429,290,194,p195.webp,664,929
short skirt,511,1207,575,669,p196.webp,1600,2405
long skirt,174,216,649,949,p197.jpg,980,1472
hand bag,1,597,238,301,p197.jpg,980,1472
short skirt,1071,2149,1680,1265,p198.jpg,3226,4840
short skirt,30,24,94,114,p199.jpg,640,320
short skirt,503,16,109,112,p199.jpg,640,320
long skirt,188,31,90,190,p199.jpg,640,320
long skirt,343,10,108,297,p199.jpg,640,320
slacks,156,222,150,402,p2.jpg,452,678
short skirt,153,53,123,118,p200.jpg,450,300
short skirt,383,603,276,274,p201.jpg,1080,1350
long sleeve shirt,387,416,301,237,p201.jpg,1080,1350
boots,469,1096,80,177,p201.jpg,1080,1350
boots,589,1115,84,190,p201.jpg,1080,1350
short skirt,112,226,559,466,p202.webp,768,768
short skirt,103,93,486,493,p203.webp,640,740
long skirt,135,201,159,261,p204.webp,390,585
crop top,113,90,135,114,p204.webp,390,585
button down shirt,178,92,183,143,p205.jpg,487,608
long skirt,106,222,351,320,p205.jpg,487,608
long skirt,352,309,245,412,p206.jpg,736,1030
heels,221,843,123,157,p206.jpg,736,1030
heels,456,868,124,151,p206.jpg,736,1030
long sleeve shirt,320,148,255,291,p206.jpg,736,1030
long skirt,8,100,176,242,p207.jpg,780,438
long skirt,163,90,205,269,p207.jpg,780,438
long skirt,343,102,295,300,p207.jpg,780,438
long skirt,572,100,194,277,p207.jpg,780,438
short skirt,55,1,88,84,p208.jpg,277,182
short skirt,8,15,856,976,p209.jpg,865,1000
cargo pants,202,559,231,441,p21.jpg,736,1104
jacket,166,278,284,281,p21.jpg,736,1104
sneakers,150,886,122,130,p21.jpg,736,1104
sneakers,336,982,144,111,p21.jpg,736,1104
short skirt,35,126,950,711,p210.webp,1000,1000
long skirt,218,370,585,895,p211.jpg,980,1468
hand bag,153,652,156,339,p211.jpg,980,1468
long skirt,353,280,181,379,p212.webp,760,760
long sleeve shirt,292,140,262,180,p212.webp,760,760
short skirt,380,239,511,550,p213.jpg,960,960
long skirt,106,56,440,907,p214.jpg,1500,1000
long skirt,558,41,434,916,p214.jpg,1500,1000
long skirt,1020,50,424,909,p214.jpg,1500,1000
long skirt,80,21,480,676,p215.jpg,640,720
socks,171,288,606,861,p217.jpg,1280,1600
socks,547,254,538,958,p217.jpg,1280,1600
socks,179,210,416,571,p218.jpg,750,1000
socks,140,5,264,560,p219.webp,1200,628
socks,365,0,242,574,p219.webp,1200,628
socks,577,1,224,544,p219.webp,1200,628
socks,780,0,255,564,p219.webp,1200,628
socks,111,197,109,355,p220.jpg,1024,682
socks,192,205,122,358,p220.jpg,1024,682
socks,328,271,117,300,p220.jpg,1024,682
socks,476,288,92,303,p220.jpg,1024,682
socks,604,181,94,328,p220.jpg,1024,682
socks,797,160,121,322,p220.jpg,1024,682
socks,1,6,262,379,p221.webp,566,708
socks,114,5,452,702,p221.webp,566,708
socks,122,351,566,765,p222.webp,1080,1440
socks,227,560,761,594,p222.webp,1080,1440
socks,322,136,766,1679,p223.webp,2000,2000
socks,920,169,728,1651,p223.webp,2000,2000
sweatpants,404,93,837,1670,p224.webp,1500,2100
sneakers,282,1751,267,235,p224.webp,1500,2100
sneakers,924,1722,200,288,p224.webp,1500,2100
sweatpants,59,46,83,199,p225.jpg,183,275
sneakers,52,231,60,27,p225.jpg,183,275
sneakers,66,241,67,26,p225.jpg,183,275
sweatpants,158,174,190,265,p226.jpg,488,488
long sleeve shirt,190,57,178,182,p226.jpg,488,488
sweatpants,98,4,331,653,p227.jpg,494,659
sweatpants,262,390,247,433,p228.webp,768,927
sweater,199,88,351,313,p228.webp,768,927
jeans,233,294,203,220,p23.jpg,623,626
tank top,173,156,244,148,p23.jpg,623,626
sneakers,266,411,57,72,p23.jpg,623,626
sneakers,241,494,106,47,p23.jpg,623,626
sweatpants,232,72,246,560,p230.webp,768,768
sneakers,326,666,72,99,p230.webp,768,768
sneakers,384,588,81,143,p230.webp,768,768
sweatpants,485,1060,511,935,p231.jpg,1500,2254
sneakers,591,1799,118,246,p231.jpg,1500,2254
sneakers,644,1977,215,218,p231.jpg,1500,2254
t-shirt,398,440,652,764,p231.jpg,1500,2254
cap,628,150,265,224,p231.jpg,1500,2254
sweatpants,328,97,693,1319,p232.jpg,1280,1600
sweatpants,93,254,277,387,p233.webp,500,684
crop top,158,118,172,135,p233.webp,500,684
sneakers,202,621,54,41,p233.webp,500,684
sneakers,289,616,109,46,p233.webp,500,684
dress,340,261,303,1191,p234.jpg,1000,1500
dress,215,187,313,893,p235.webp,750,1125
dress,706,476,579,1997,p236.webp,2000,2756
dress,183,128,219,632,p237.jpg,594,832
dress,227,169,206,726,p238.webp,640,960
dress,101,282,645,661,p239.jpg,800,1000
t-shirt,480,275,484,320,p24.jpg,1482,1000
sneakers,686,3,116,168,p24.jpg,1482,1000
sneakers,1070,594,78,165,p24.jpg,1482,1000
dress,27,92,148,159,p240.jpg,178,284
beanie,120,88,949,1004,p241.jpg,1200,1200
beanie,130,6,714,672,p242.jpg,944,1000
beanie,44,24,103,107,p243.jpg,195,258
beanie,246,23,771,730,p244.jpg,1200,1640
beanie,229,27,589,519,p245.jpg,924,924
beanie,216,222,2,0,p246.jpg,218,231
beanie,90,301,814,720,p247.webp,1000,1334
beanie,584,493,1535,1707,p248.jpg,2700,2700
beanie,212,15,376,361,p249.webp,800,800
jacket,419,763,1154,1187,p25.webp,2000,3000
jeans,664,1672,739,1054,p25.webp,2000,3000
beanie,98,30,1784,1950,p250.webp,2000,2000
jeans,84,7,68,188,p251.jpg,237,213
jeans,46,25,131,202,p252.jpg,194,259
jeans,53,20,87,212,p253.jpg,194,259
jeans,53,8,99,225,p254.jpg,201,251
jeans,62,115,55,139,p255.jpg,183,275
jeans,71,15,117,211,p256.jpg,194,259
jeans,617,35,782,1683,p257.jpg,2000,1800
jeans,348,102,428,1197,p258.webp,2560,1463
jeans,867,134,393,1225,p258.webp,2560,1463
jeans,1323,119,431,1182,p258.webp,2560,1463
jeans,1788,112,426,1222,p258.webp,2560,1463
jeans,42,41,106,181,p259.jpg,187,270
jeans,331,547,394,616,p26.jpg,1080,1350
jeans,317,52,361,847,p260.jpg,980,980
jeans,270,430,262,726,p261.jpg,750,1164
jeans,293,573,292,716,p262.jpg,888,1400
jeans,250,658,1425,942,p263.webp,2560,1705
jeans,362,93,258,487,p264.webp,1024,683
boustier,93,104,472,585,p265.webp,768,768
boustier,90,179,275,233,p266.webp,513,655
boustier,633,1344,1338,1851,p267.webp,2615,4032
boustier,555,555,1535,2111,p268.webp,2500,3750
boustier,280,858,906,747,p269.JPG,1563,2500
jeans,129,360,285,436,p27.jpg,580,929
sneakers,108,564,136,72,p27.jpg,580,929
sneakers,232,768,72,119,p27.jpg,580,929
bucket hat,248,144,131,71,p27.jpg,580,929
boustier,2,159,759,695,p270.webp,800,1067
boustier,5,7,748,989,p272.jpg,756,1000
robe,112,73,156,352,p273.webp,356,475
robe,229,253,507,1182,p274.webp,1000,1660
robe,151,169,667,791,p275.jpg,900,1000
robe,486,436,1368,1612,p276.webp,2048,2048
robe,306,187,216,445,p277.webp,768,768
robe,557,62,845,2079,p278.webp,2000,2623
robe,301,239,518,1069,p279.jpg,1067,1600
long skirt,327,527,372,803,p28.jpg,980,1470
hand bag,218,600,138,218,p28.jpg,980,1470
robe,97,51,530,992,p280.webp,720,1080
robe,288,195,484,865,p281.webp,1060,1060
robe,270,187,1006,1473,p282.webp,1500,1875
robe,248,175,359,677,p284.webp,800,999
robe,199,294,604,1132,p285.webp,1000,1660
robe,258,194,450,866,p286.webp,900,1350
robe,148,36,566,680,p287.webp,768,768
boots,2,29,76,186,p288.jpg,225,225
boots,88,16,135,191,p288.jpg,225,225
boots,35,26,401,440,p289.jpg,488,488
dress,289,316,1111,1440,p29.jpg,1500,1801
boots,29,52,343,552,p290.jpg,800,800
boots,325,155,403,605,p290.jpg,800,800
boots,9,1,1044,979,p291.jpg,1174,1000
boots,33,16,164,203,p292.jpg,225,225
boots,94,325,1061,829,p293.webp,1400,1400
boots,315,228,1003,763,p293.webp,1400,1400
boots,59,43,377,393,p294.jpg,488,488
boots,37,141,258,255,p295.jpg,400,400
boots,53,16,331,240,p295.jpg,400,400
boots,256,26,87,122,p295.jpg,400,400
boots,311,9,82,128,p295.jpg,400,400
boots,60,80,632,849,p296.jpg,900,1000
boots,267,43,588,791,p296.jpg,900,1000
boots,44,94,48,172,p297.jpg,189,267
boots,111,92,48,150,p297.jpg,189,267
boots,237,125,258,728,p298.webp,756,1008
boots,368,106,421,863,p299.webp,1080,1080
dress pants,594,862,408,1223,p3.webp,1500,2250
heels,46,1044,176,100,p30.jpg,701,1311
heels,296,1101,189,96,p30.jpg,701,1311
boots,18,315,298,582,p300.webp,798,1088
boots,279,351,492,573,p300.webp,798,1088
boots,89,420,627,819,p301.webp,1100,1400
boots,333,608,463,722,p301.webp,1100,1400
vest,250,75,694,1102,p302.webp,1200,1200
vest,214,170,424,590,p303.jpg,800,800
vest,43,15,166,189,p304.jpg,225,225
vest,224,256,361,509,p305.jpg,771,1000
vest,215,63,376,580,p306.webp,768,768
vest,276,48,661,1100,p307.webp,1200,1200
vest,373,887,915,1233,p308.webp,1633,2449
vest,303,61,622,1080,p309.webp,1200,1200
long sleeve shirt,904,436,1002,892,p31.webp,2560,1440
vest,123,312,604,720,p310.jpg,800,1200
vest,39,12,124,228,p311.jpg,199,253
vest,727,714,1142,1559,p312.webp,2716,2716
vest,427,307,1134,1333,p313.webp,2000,2000
vest,839,768,917,1589,p314.jpg,2500,3000
apron,22,230,2876,2601,p316.webp,2920,2920
apron,337,30,1140,1733,p317.webp,1800,1800
apron,100,61,480,934,p318.webp,667,1000
apron,91,32,420,533,p319.webp,600,600
button down shirt,98,181,407,354,p32.jpg,639,640
apron,195,30,378,974,p320.jpg,774,1021
apron,202,5,385,736,p321.webp,794,794
apron,155,37,623,949,p323.jpg,1024,1024
apron,239,270,379,678,p324.jpg,1000,1000
apron,236,72,550,913,p325.jpg,1000,1000
apron,368,10,1784,2386,p327.jpg,2500,2500
apron,51,9,125,213,p328.jpg,224,224
apron,17,7,169,181,p329.jpg,200,199
dress pants,172,385,326,444,p33.jpg,691,967
sneakers,283,802,74,139,p33.jpg,691,967
sneakers,344,856,86,110,p33.jpg,691,967
apron,35,6,151,210,p330.jpg,225,225
apron,90,39,427,531,p331.jpg,600,600
apron,74,49,59,146,p332.jpg,183,275
apron,23,8,189,211,p333.jpg,225,225
blazer,265,186,505,481,p34.jpg,1012,1200
shorts,237,541,393,259,p34.jpg,1012,1200
button down shirt,129,349,713,713,p35.jpg,960,1280
crop top,226,397,239,184,p36.jpg,800,1200
long skirt,282,561,202,403,p36.jpg,800,1200
sandals,262,931,68,121,p36.jpg,800,1200
sandals,357,1059,106,88,p36.jpg,800,1200
dress,536,745,578,895,p38.jpg,1367,2048
hand bag,471,1099,215,178,p38.jpg,1367,2048
heels,395,1762,176,173,p38.jpg,1367,2048
heels,715,1745,110,210,p38.jpg,1367,2048
bodysuit,64,165,184,152,p39.jpg,267,800
long skirt,24,291,235,311,p39.jpg,267,800
sweater,64,382,900,844,p4.jpg,1000,1500
crop top,420,324,988,607,p40.jpg,1800,1800
short skirt,723,909,528,359,p40.jpg,1800,1800
crop top,56,59,106,55,p41.jpg,200,251
short skirt,76,108,65,32,p41.jpg,200,251
boots,77,171,27,76,p41.jpg,200,251
boots,109,172,32,74,p41.jpg,200,251
crop top,54,69,69,55,p42.jpg,142,355
short skirt,55,136,71,56,p42.jpg,142,355
boots,61,273,41,81,p42.jpg,142,355
boots,107,273,28,81,p42.jpg,142,355
jacket,188,126,296,173,p43.jpg,639,426
short skirt,249,306,158,94,p43.jpg,639,426
hand bag,358,134,59,136,p43.jpg,639,426
short skirt,349,224,221,332,p44.webp,900,1200
crop top,387,23,198,211,p44.webp,900,1200
jacket,439,782,1153,832,p45.webp,2180,3270
long skirt,855,1497,574,995,p45.webp,2180,3270
hand bag,529,1714,366,493,p45.webp,2180,3270
